BID,Nearest_FID
1000515,7413
1001514,7537
1001515,7537
1002514,7537
1003514,7537
1003515,7537
1004515,7537
1005514,7537
1005515,7413
1006514,7537
1006515,7537
1007515,7537
1008514,7537
1008515,7537
1008516,9689
1009515,7537
1009516,9689
1010514,7537
1010515,7537
1011514,7537
1011515,7537
1011516,9689
1012514,7537
1012515,7537
1012516,9689
1013514,7537
1013515,7537
1013516,9689
1014514,7537
1014515,7537
1014516,9689
1015515,7413
1015516,9689
1016514,7537
1016515,7413
1016516,9689
1017514,7537
1017515,7413
1017516,9689
1018514,7537
1018515,7413
1018516,9689
1019514,7537
1019515,7413
1019516,9689
1020514,7537
1020515,7413
1020516,9689
1021514,7537
1021515,7413
1022515,7413
1023514,7537
1023515,7413
1024514,7537
1024515,7413
1024516,9689
1025514,7537
1025515,7413
1025516,9689
1026514,7537
1026515,7413
1026516,9689
1027515,7413
1027516,9689
1028515,7413
2000514,7537
2000515,7537
2001514,7537
2001515,7537
2002515,7537
2002516,9689
2003514,7537
2003515,7537
2003516,9689
2004514,7537
2004515,7537
2004516,9689
2005514,7537
2005515,7537
2005516,9689
2006515,7413
2006516,9689
2007515,7413
2007516,9689
2008515,7413
2008516,9689
2009514,7537
2009515,7413
2009516,9689
2010514,7537
2010515,7413
2010516,9689
2011515,7413
2011516,9689
2012515,7413
2012516,9689
2013515,7413
2013516,9689
2014515,7413
2015515,7413
2016515,7413
2016516,9689
2017515,7413
2017516,9689
2018515,7413
2018516,9689
2019515,7413
2019516,9689
2020515,7413
2020516,9689
2021516,9689
2022515,7537
2022516,9689
2023516,9689
2024516,9689
2025516,9689
2026516,9689
2027516,9689
2029516,9689
2030516,9689
2034516,7413
2035516,7413
2036516,7413
2037516,7413
2038516,7413
2039516,9689
2040516,9689
2041516,9689
2042516,7413
2045516,9689
2046516,9689
2047516,7413
2048516,7413
2049516,7413
2050516,7413
2051516,7413
2052516,7413
3000514,7413
3001514,7413
3002514,7413
3003514,7413
3005514,7413
3006514,7413
3007514,7413
3010514,7413
3011514,7413
3012514,7413
3013514,7413
3014514,7413
3015514,7413
3016514,7413
3017514,7413
3018514,7413
3019514,7413
3020514,7413
3021514,7413
3025514,7537
3026514,7537
3027514,7537
3028514,7537
3029514,7537
3030514,7537
3031514,7537
3032514,7537
3033514,7537
3034514,7537
3036514,7537
3037514,7537
3038514,7537
3039514,7537
3040514,7413
3041514,7413
3042514,7413
3043514,7413
3044514,7413
3045514,7413
3046514,7413
3047514,7413
3048514,7413
3049514,7413
3050514,7413
3051514,7413
3052514,7413
3054514,7413
3056514,7413
3057514,7413
3058514,7413
3059514,7413
3060514,7413
3061514,7413
3062514,7413
3063514,7413
3064514,7413
3066514,7413
